state_code,county_code,site_num,parameter_code,poc,latitude,longitude,datum,parameter_name,date_local,time_local,date_gmt,time_gmt,sample_measurement,units_of_measure,mdl,uncertainty,qualifier,method_type,method_code,method_name,state_name,county_name,date_of_last_change
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-07-06,00:00,1993-07-06,07:00,62.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-07-07,00:00,1993-07-07,07:00,63.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-07-08,00:00,1993-07-08,07:00,67.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-07-09,00:00,1993-07-09,07:00,63.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-07-10,00:00,1993-07-10,07:00,68.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-07-11,00:00,1993-07-11,07:00,67.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-07-12,00:00,1993-07-12,07:00,60.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-07-13,00:00,1993-07-13,07:00,63.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-07-14,00:00,1993-07-14,07:00,61.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-07-15,00:00,1993-07-15,07:00,68.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-07-16,00:00,1993-07-16,07:00,69.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-07-17,00:00,1993-07-17,07:00,69.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-07-18,00:00,1993-07-18,07:00,62.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
